data;temperatura_massima;temperatura_minima;temperatura_massima2013;temperatura_minima2013
01/01/2014;11;-1,5;4,2;-2,5
02/01/2014;8,7;2;9,5;2,6
03/01/2014;11,3;7,4;14,5;2,8
04/01/2014;14,8;10,8;9,2;0
05/01/2014;14,8;6,2;9,9;4,6
06/01/2014;14,3;1,8;9,1;4,7
07/01/2014;13,4;2,8;10,3;1,6
08/01/2014;11;3,1;8,6;1,8
09/01/2014;13,4;6,4;11,2;5
10/01/2014;12,3;6,9;11,9;7,1
11/01/2014;15,5;7,1;9,4;2,7
12/01/2014;14,3;3,9;9,8;-0,2
13/01/2014;7,6;1,5;7,2;4,4
14/01/2014;11,4;7,6;10,3;1,9
15/01/2014;13,7;3,7;8,9;1,2
16/01/2014;10,2;3,3;6;0,8
17/01/2014;12,6;10;6,5;-1,6
18/01/2014;14;11;8,7;-2
19/01/2014;15,4;9,6;6,8;-2,7
20/01/2014;15,9;9,2;10,6;4,9
21/01/2014;12,9;8,4;11,9;5,8
22/01/2014;12;4;9,4;2,9
23/01/2014;10,8;1,4;8,6;1,4
24/01/2014;10,1;5,2;9,2;4,7
25/01/2014;12;0,7;8;2
26/01/2014;12,6;-1,3;7,5;-0,5
27/01/2014;5,4;1,2;9,8;-4
28/01/2014;8,1;-0,3;6,2;1,6
29/01/2014;9,4;-3;12;0,1
30/01/2014;10,4;4,7;10,9;7,4
31/01/2014;11,3;8,8;15,3;6,4
01/02/2014;16;8,1;16,7;6
02/02/2014;11,2;7;13;3,9
03/02/2014;15,8;7,8;10,5;-0,6
04/02/2014;13;7,9;13,1;-2,2
05/02/2014;12,5;7,1;9,9;1,4
06/02/2014;14;5,3;12,9;4,1
07/02/2014;14,8;3;7,6;3
08/02/2014;13,4;6,9;9,7;1,2
09/02/2014;14,4;7,8;8,1;-0,5
10/02/2014;11,9;7,9;8,3;-5,1
11/02/2014;13;6,5;7;-0,9
12/02/2014;13,7;4,1;7,4;0,8
13/02/2014;15,3;4,6;8,1;0,2
14/02/2014;16,9;6,6;11,3;1
15/02/2014;16,7;7,1;13,6;-1,5
16/02/2014;18,7;10,7;12,5;0,8
17/02/2014;15,4;9,2;11,7;1,5
18/02/2014;19,5;6,5;9,1;1,2
19/02/2014;18,3;10,2;12,1;-2,2
20/02/2014;12,3;8,1;7,7;1,8
21/02/2014;15,7;5,2;6,5;1,9
22/02/2014;14,4;3,7;5,3;0,3
23/02/2014;14,4;1,9;3,3;-1,3
24/02/2014;15,6;1,4;7,6;1
25/02/2014;15,9;0,4;8,5;0,2
26/02/2014;10,9;4,6;12,3;-0,5
27/02/2014;13,3;2,7;8,7;-2,3
28/02/2014;11;5,7;13,7;-1,8
01/03/2014;10,3;5,6;9,4;-0,5
02/03/2014;15,5;3,6;12,3;5,4
03/03/2014;12,9;1,1;16;-2
04/03/2014;12,3;6,5;19,1;-1,6
05/03/2014;13,6;6,5;13,7;0,6
06/03/2014;14,9;5,2;10,3;7,7
07/03/2014;18,2;8,2;14,1;8
08/03/2014;15,6;8,2;13,8;11
09/03/2014;16,8;5,9;15,5;10
10/03/2014;13,8;6,2;17,3;9,2
11/03/2014;14,4;6;14,4;7,3
12/03/2014;18,8;3,8;15,2;6,8
13/03/2014;22,3;1,5;9,3;3,3
14/03/2014;22;2,3;10,3;2,8
15/03/2014;18,6;2,3;9,8;0,5
16/03/2014;20,7;4;11,3;-2,6
17/03/2014;20,2;7,4;10;1,9
18/03/2014;20,9;9,3;14,4;7,1
19/03/2014;19,4;8,5;14,6;6,2
20/03/2014;24,8;5,1;13,3;3
21/03/2014;21,4;7,4;16,8;2,6
22/03/2014;17,3;10,3;14,4;2,6
23/03/2014;14,1;6,2;16,6;4,2
24/03/2014;12,6;3,8;15,4;8,8
25/03/2014;15,5;1,1;9,8;5,5
26/03/2014;14,8;6,2;6,8;4,3
27/03/2014;13,9;8,8;14,5;4,4
28/03/2014;19,2;8,3;17;6,8
29/03/2014;23;3,8;15,1;11,2
30/03/2014;23;5,5;15,2;9,6
31/03/2014;21,8;4,8;15,2;6,7
01/04/2014;19,3;7,9;17,8;5,9
02/04/2014;19,6;5,9;14,5;7,1
03/04/2014;21;7,1;17,4;7,6
04/04/2014;15,9;11,2;14,9;5,2
05/04/2014;19,2;9,5;12,3;9,1
06/04/2014;21,8;9,8;20,5;8,8
07/04/2014;26,6;7,9;15,3;7,9
08/04/2014;21,9;7,7;13,2;5,4
09/04/2014;21,7;9,4;16,9;7,6
10/04/2014;21,9;5,1;17,8;8,2
11/04/2014;21,9;11,4;19,8;6,4
12/04/2014;21,3;8,5;21;11,2
13/04/2014;20,3;10,4;19,9;8
14/04/2014;22,4;7,7;24,8;4,9
15/04/2014;17,8;9,9;26,4;7,6
16/04/2014;15,9;6,8;26,2;6,9
17/04/2014;17,9;3,6;28,3;9,7
18/04/2014;19,1;3,9;27;10,1
19/04/2014;14,3;9,2;26;9,2
20/04/2014;20,5;6,3;20,8;9,8
21/04/2014;20,4;12;19,5;6,2
22/04/2014;22,9;11,5;19,8;7
23/04/2014;23,7;11,4;20,6;5,6
24/04/2014;24;11,1;25,8;5,1
25/04/2014;24,5;11,4;25,1;10,1
26/04/2014;23,7;10,8;26;12,4
27/04/2014;16,9;12,3;21,4;14,2
28/04/2014;14,5;11;24,6;13,3
29/04/2014;19;10,4;29,1;13,2
